School Name,Number of students,Scheduled Date
TRAINING- Tables and also chairs school,200,02/12/2024
TRAINING Leslie Leslie Leslie College,200,30/10/2024
Salesian College Sunbury,300,23/08/2024
Horse & Carriage Academy,200,21/08/2024
Patterson River Secondary College,185,19/08/2024
Sunbury Downs College,95,16/08/2024
Mount Eliza Secondary College,100,12/08/2024
Rosebud Secondary College,160,06/08/2024
Western Port Secondary College,45,05/08/2024
Penola Catholic College,273,02/08/2024
Jacana School for Autism,22,31/07/2024
Lake Colac School,12,30/07/2024
Casterton Secondary College,19,25/07/2024
Peninsula Grammar,150,24/07/2024
Ilim College,98,17/07/2024
McClelland College,150,27/06/2024
Kilbreda College,140,25/06/2024
Maribyrnong College,200,24/06/2024
Catholic Ladies College Eltham,120,20/06/2024
Somerville Secondary College,60,20/06/2024
Padua College AM,150,14/06/2024
Padua College PM,150,14/06/2024
Camberwell Grammar School,180,13/06/2024
Copperfield College (Delahey Senior Campus),250,12/06/2024
Kambrya College,300,11/06/2024
St Peter's College Clyde North Campus,171,06/06/2024
St Peter's College Cranbourne Campus,164,06/06/2024
SR: Bacchus Marsh Grammar (Maddingly Campus) (Session 2),130,30/05/2024
SR: Bacchus Marsh Grammar (Maddingly Campus) (Session 1),145,30/05/2024
Melton Green Light Initiatve,40,24/05/2024
Kaniva College,19,23/05/2024
Flinders Christian Community College - Tyabb Campus,70,14/05/2024
Simonds Catholic College,65,10/05/2024
Templestowe,50,09/05/2024
GLI: AMES Australia (CBD Campus),30,07/05/2024
Carrum Downs Secondary College,175,07/05/2024
Stawell Secondary College,52,30/04/2024
Macleod College,80,23/04/2024
Parkdale Secondary College,240,19/04/2024
Rossbourne school,35,17/04/2024
Officer Secondary College,220,16/04/2024
St Mary's Coptic Orthodox College,69,16/04/2024
Numurkah Secondary College,80,26/03/2024
Springside West Secondary College,250,20/03/2024
Hume Valley school,65,18/03/2024
Holmesglen Institute (Moorabbin Campus),30,01/03/2024
Good News Lutheran College,112,29/02/2024
Birchip P-12 School,20,29/02/2024
Donald High School,17,28/02/2024
Northcote High School,348,27/02/2024
Youth2Industry College,65,26/02/2024
Camberwell Girls Grammar SChool,100,23/02/2024
Rochester Secondary College,40,16/02/2024
Edenhope College,20,15/02/2024
F2D Workshop Facilitator Training - Day 2,4,31/01/2024
F2D Workshop Facilitator Training - Day 1,4,29/01/2024
Sandringham College,30,05/12/2023
Melbourne High School,350,30/11/2023
Tintern Grammar,75,29/11/2023
Southern Cross Grammar,79,28/11/2023
Thornbury High School,180,28/11/2023
Hume Anglican Grammar,119,27/11/2023
Sunshine College,156,22/11/2023
Melton Specialist School,5,20/11/2023
Borinya Wangaratta Community Partnership,12,17/11/2023
Jacana School for Autism,12,15/11/2023
Maffra Secondary College,67,13/11/2023
East Loddon P-12 College,23,10/11/2023
Heathdale Christian College,120,09/11/2023
Victorian College of the Arts Secondary School,90,08/11/2023
Diamond Valley College,109,02/11/2023
North Geelong Secondary College,30,31/10/2023
Penola Catholic College,260,27/10/2023
Copperfield College - Delahey Senior Campus,379,23/10/2023
Bayside Christian College,50,18/10/2023
Belgrave Heights Christian School,76,17/10/2023
Kolbe Catholic College,188,17/10/2023
Toorak College,86,16/10/2023
Western Port Secondary College,80,16/10/2023
Point Cook Senior Secondary College,240,13/10/2023
Flinders Christian Community College (Carrum Downs),67,12/10/2023
Hume Central Secondary College (Town Park Campus),180,10/10/2023
Officer Secialist School,30,09/10/2023
Dromana Secondary College,200,06/10/2023
Jackson School,20,03/10/2023
GLI: AMES Australia - Melbourne Campus,40,20/09/2023
St Kevin's College Toorak,280,13/09/2023
Trinity College Colac,113,12/09/2023
Simonds Catholic College,71,08/09/2023
Frankston High School,340,04/09/2023
Patterson River Secondary College,200,31/08/2023
Rosebud Secondary College,116,29/08/2023
Whittlesea Secondary College,100,28/08/2023
Cobram Secondary College,67,28/08/2023
Steer Right: Santa Maria College,126,22/08/2023
Wyndham Central College,229,22/08/2023
Gladstone Park Secondary College,250,21/08/2023
Bacchus Marsh College,200,15/08/2023
Mount Eliza Secondary College,78,14/08/2023
Peninsula Grammar,150,09/08/2023
Elisabeth Murdoch College,296,08/08/2023
"Sacred Heart College, Kyneton",110,07/08/2023
Hoppers Crossing Secondary College,250,03/08/2023
Roxburgh College,225,02/08/2023
Somerville Secondary College,30,31/07/2023
Salesian College Sunbury,225,25/07/2023
Williamstown High School Pasco Campus,260,24/07/2023
Emmaus College,25,18/07/2023
Carrum Downs Secondary College,128,18/07/2023
Lakeside College,22,14/07/2023
Mount Erin College,150,13/07/2023
